GEOID10,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
40017300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,313,1150
40017301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,240,871
40017302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,481,1520
40017304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522,352,1170
40017305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682,384,1298
40017306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,198,803
40017400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,164,541
40017402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,43,137
40017403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,43,170
40017404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,46,106
40017405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,13,128
40017406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,47,112
40017407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,16,62
40017408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,76,222
40017500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,25,111
40017502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,30,98
40017503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,53,362
40017504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,417,1863
40017506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490,277,1213
40017700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
40017701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,432,678
400192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,333,688
400197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,581,109
4001911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,188,379
4001914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,168,279
4001915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,205,373
4001916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,103,332
