GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
120860731,0,0,0,0,0,0,781,366,414
120860732,0,0,0,0,0,0,481,145,336
120860733,0,0,0,0,0,0,1698,497,1199
120860734,0,0,0,0,0,0,645,152,493
120860735,0,0,0,0,0,0,94,34,60
120860736,0,0,0,0,0,0,15,6,9
120860737,0,0,0,0,0,0,36,14,22
120860738,0,0,0,0,0,0,539,207,331
120860739,0,0,0,0,0,0,1993,766,1225
120860740,0,0,0,0,0,0,2025,715,1308
120860741,0,0,0,0,0,0,0,0,0
120860742,0,0,0,0,0,0,240,136,103
120860743,0,0,0,0,0,0,107,61,46
120860744,0,0,0,0,0,0,78,35,43
120860745,0,0,0,0,0,0,146,83,63
120860746,0,0,0,0,0,0,40,23,17
120860747,0,0,0,0,0,0,44,25,19
120860748,0,0,0,0,0,0,40,23,17
120860749,0,0,0,0,0,0,71,40,31
120860750,0,0,0,0,0,0,74,42,32
120860751,0,0,0,0,0,0,74,42,32
120860752,0,0,0,0,0,0,90,51,39
120860753,0,0,0,0,0,0,0,0,0
120860754,0,0,0,0,0,0,21,12,9
120860755,0,0,0,0,0,0,369,209,159
120860756,0,0,0,0,0,0,81,46,35
120860757,0,0,0,0,0,0,228,129,98
120860758,0,0,0,0,0,0,296,168,127
120860759,0,0,0,0,0,0,81,46,35
120860760,0,0,0,0,0,0,102,58,44
120860761,0,0,0,0,0,0,81,36,45
120860762,0,0,0,0,0,0,48,27,21
120860763,0,0,0,0,0,0,45,26,19
120860764,0,0,0,0,0,0,1763,1669,94
120860765,0,0,0,0,0,0,780,663,114
120860766,0,0,0,0,0,0,98,84,14
120860767,0,0,0,0,0,0,207,93,113
120860768,0,0,0,0,0,0,485,202,281
120860769,0,0,0,0,0,0,711,561,146
120860770,0,0,0,0,0,0,324,256,66
120860771,0,0,0,0,0,0,56,44,12
120860772,0,0,0,0,0,0,989,957,31
120860773,0,0,0,0,0,0,47,46,1
120860774,0,0,0,0,0,0,573,550,22
120860775,0,0,0,0,0,0,245,234,10
120860776,0,0,0,0,0,0,888,874,13
120860777,0,0,0,0,0,0,108,106,2
120860778,0,0,0,0,0,0,734,730,3
120860779,0,0,0,0,0,0,698,695,3
120860780,0,0,0,0,0,0,1025,375,649
120860781,0,0,0,0,0,0,570,211,359
120860782,0,0,0,0,0,0,149,55,94
120860783,0,0,0,0,0,0,868,290,575
120860784,0,0,0,0,0,0,1242,1227,15
120860785,0,0,0,0,0,0,1320,1303,16
120860786,0,0,0,0,0,0,794,783,11
120860787,0,0,0,0,0,0,997,958,37
120860788,0,0,0,0,0,0,669,605,59
120860789,0,0,0,0,0,0,27,25,2
120860790,0,0,0,0,0,0,976,675,295
120860791,0,0,0,0,0,0,262,182,79
120860792,0,0,0,0,0,0,529,472,52
120860793,0,0,0,0,0,0,337,301,33
120860794,0,0,0,0,0,0,1266,1188,78
120860795,0,0,0,0,0,0,1407,1375,32
120860796,0,0,0,0,0,0,1654,1628,23
120860797,0,0,0,0,0,0,1492,1468,21
120860798,0,0,0,0,0,0,1179,1161,17
120860799,0,0,0,0,0,0,689,583,103
120860800,0,0,0,0,0,0,1057,565,487
120860801,0,0,0,0,0,0,277,171,104
120860802,0,0,0,0,0,0,945,446,498
120860803,0,0,0,0,0,0,726,397,326
120860804,0,0,0,0,0,0,442,307,134
120860805,0,0,0,0,0,0,1733,1335,390
120860806,0,0,0,0,0,0,164,115,47
