GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_ag,Dem_2016_ag,Rep_2016_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov
410170016002,876,567,292,0,0,0,0,0,0,0,0,0,0,0,0
410170016003,1131,614,499,0,0,0,0,0,0,0,0,0,0,0,0
410170017001,1209,643,544,0,0,0,0,0,0,0,0,0,0,0,0
410170017002,865,472,375,0,0,0,0,0,0,0,0,0,0,0,0
410170017003,359,196,156,0,0,0,0,0,0,0,0,0,0,0,0
410170017004,897,462,419,0,0,0,0,0,0,0,0,0,0,0,0
410170018001,748,398,337,0,0,0,0,0,0,0,0,0,0,0,0
410170018002,1181,581,578,0,0,0,0,0,0,0,0,0,0,0,0
410170018003,895,516,355,0,0,0,0,0,0,0,0,0,0,0,0
410170018004,560,287,262,0,0,0,0,0,0,0,0,0,0,0,0
410170019011,1097,427,657,0,0,0,0,0,0,0,0,0,0,0,0
410170019021,2067,1005,1030,0,0,0,0,0,0,0,0,0,0,0,0
410170019022,930,443,473,0,0,0,0,0,0,0,0,0,0,0,0
410170019023,511,243,260,0,0,0,0,0,0,0,0,0,0,0,0
410170019024,561,262,292,0,0,0,0,0,0,0,0,0,0,0,0
410170020001,670,275,385,0,0,0,0,0,0,0,0,0,0,0,0
410170020002,771,424,334,0,0,0,0,0,0,0,0,0,0,0,0
410170020003,1051,482,550,0,0,0,0,0,0,0,0,0,0,0,0
410170020004,829,417,399,0,0,0,0,0,0,0,0,0,0,0,0
410170021001,1130,625,491,0,0,0,0,0,0,0,0,0,0,0,0
410170021002,1199,654,524,0,0,0,0,0,0,0,0,0,0,0,0
410170021003,2462,1324,1096,0,0,0,0,0,0,0,0,0,0,0,0
410170021004,631,322,298,0,0,0,0,0,0,0,0,0,0,0,0
410190100001,447,168,262,0,0,0,0,0,0,0,0,0,0,0,0
410190100002,636,326,289,0,0,0,0,0,0,0,0,0,0,0,0
410190200001,281,142,132,0,0,0,0,0,0,0,0,0,0,0,0
410190200002,668,315,338,0,0,0,0,0,0,0,0,0,0,0,0
410190200003,794,377,395,0,0,0,0,0,0,0,0,0,0,0,0
410190200004,237,102,127,0,0,0,0,0,0,0,0,0,0,0,0
410190300001,461,174,275,0,0,0,0,0,0,0,0,0,0,0,0
410190300002,674,249,399,0,0,0,0,0,0,0,0,0,0,0,0
410190300003,805,311,476,0,0,0,0,0,0,0,0,0,0,0,0
410190400001,461,155,289,0,0,0,0,0,0,0,0,0,0,0,0
410190400002,513,197,305,0,0,0,0,0,0,0,0,0,0,0,0
410190400003,449,151,282,0,0,0,0,0,0,0,0,0,0,0,0
410190500011,409,150,250,0,0,0,0,0,0,0,0,0,0,0,0
410190500012,731,265,448,0,0,0,0,0,0,0,0,0,0,0,0
410190500013,758,310,429,0,0,0,0,0,0,0,0,0,0,0,0
410190500014,400,147,244,0,0,0,0,0,0,0,0,0,0,0,0
410190500021,1282,479,770,0,0,0,0,0,0,0,0,0,0,0,0
410190500022,445,165,268,0,0,0,0,0,0,0,0,0,0,0,0
410190500023,689,251,423,0,0,0,0,0,0,0,0,0,0,0,0
410190500024,868,322,525,0,0,0,0,0,0,0,0,0,0,0,0
410190600001,645,233,394,0,0,0,0,0,0,0,0,0,0,0,0
410190600002,442,145,290,0,0,0,0,0,0,0,0,0,0,0,0
410190600003,1172,386,772,0,0,0,0,0,0,0,0,0,0,0,0
410190700001,858,292,552,0,0,0,0,0,0,0,0,0,0,0,0
410190700002,1432,487,917,0,0,0,0,0,0,0,0,0,0,0,0
410190700003,1006,319,673,0,0,0,0,0,0,0,0,0,0,0,0
410190800001,1859,586,1236,0,0,0,0,0,0,0,0,0,0,0,0
410190800002,795,275,511,0,0,0,0,0,0,0,0,0,0,0,0
410190800003,525,194,323,0,0,0,0,0,0,0,0,0,0,0,0
410190800004,665,277,377,0,0,0,0,0,0,0,0,0,0,0,0
410190800005,407,170,230,0,0,0,0,0,0,0,0,0,0,0,0
410190900001,524,193,321,0,0,0,0,0,0,0,0,0,0,0,0
410190900002,370,156,207,0,0,0,0,0,0,0,0,0,0,0,0
410190900003,1445,551,858,0,0,0,0,0,0,0,0,0,0,0,0
410190900004,674,291,370,0,0,0,0,0,0,0,0,0,0,0,0
410191000001,398,167,221,0,0,0,0,0,0,0,0,0,0,0,0
410191000002,753,306,430,0,0,0,0,0,0,0,0,0,0,0,0
410191000003,629,250,364,0,0,0,0,0,0,0,0,0,0,0,0
410191100001,459,170,279,0,0,0,0,0,0,0,0,0,0,0,0
410191100002,753,222,514,0,0,0,0,0,0,0,0,0,0,0,0
410191100003,347,113,225,0,0,0,0,0,0,0,0,0,0,0,0
410191200001,961,445,495,0,0,0,0,0,0,0,0,0,0,0,0
410191200002,606,272,316,0,0,0,0,0,0,0,0,0,0,0,0
410191200003,446,218,218,0,0,0,0,0,0,0,0,0,0,0,0
410191200004,373,174,190,0,0,0,0,0,0,0,0,0,0,0,0
410191200005,314,169,138,0,0,0,0,0,0,0,0,0,0,0,0
410191200006,257,120,133,0,0,0,0,0,0,0,0,0,0,0,0
410191300001,449,240,198,0,0,0,0,0,0,0,0,0,0,0,0
410191300002,312,156,150,0,0,0,0,0,0,0,0,0,0,0,0
410191300003,431,189,230,0,0,0,0,0,0,0,0,0,0,0,0
410191300004,837,413,414,0,0,0,0,0,0,0,0,0,0,0,0
410191300005,279,137,134,0,0,0,0,0,0,0,0,0,0,0,0
410191400001,479,201,271,0,0,0,0,0,0,0,0,0,0,0,0
410191400002,643,285,346,0,0,0,0,0,0,0,0,0,0,0,0
410191400003,686,304,370,0,0,0,0,0,0,0,0,0,0,0,0
410191400004,212,114,93,0,0,0,0,0,0,0,0,0,0,0,0
410191400005,361,176,175,0,0,0,0,0,0,0,0,0,0,0,0
410191500001,1061,367,666,0,0,0,0,0,0,0,0,0,0,0,0
410191500002,1216,435,747,0,0,0,0,0,0,0,0,0,0,0,0
410191500003,732,262,450,0,0,0,0,0,0,0,0,0,0,0,0
410191600001,481,168,305,0,0,0,0,0,0,0,0,0,0,0,0
410191600002,925,353,549,0,0,0,0,0,0,0,0,0,0,0,0
410191600003,880,328,529,0,0,0,0,0,0,0,0,0,0,0,0
410191600004,414,162,241,0,0,0,0,0,0,0,0,0,0,0,0
410191600005,661,257,395,0,0,0,0,0,0,0,0,0,0,0,0
410191700001,611,237,361,0,0,0,0,0,0,0,0,0,0,0,0
410191700002,1394,488,865,0,0,0,0,0,0,0,0,0,0,0,0
410191800001,518,176,331,0,0,0,0,0,0,0,0,0,0,0,0
410191800002,440,144,286,0,0,0,0,0,0,0,0,0,0,0,0
410191800003,373,152,210,0,0,0,0,0,0,0,0,0,0,0,0
410191800004,310,125,179,0,0,0,0,0,0,0,0,0,0,0,0
410191800005,534,212,313,0,0,0,0,0,0,0,0,0,0,0,0
410191900001,978,382,569,0,0,0,0,0,0,0,0,0,0,0,0
410191900002,426,165,250,0,0,0,0,0,0,0,0,0,0,0,0
410191900003,418,162,245,0,0,0,0,0,0,0,0,0,0,0,0
410192000001,545,205,320,0,0,0,0,0,0,0,0,0,0,0,0
410192000002,327,126,197,0,0,0,0,0,0,0,0,0,0,0,0
410192000003,626,227,378,0,0,0,0,0,0,0,0,0,0,0,0
410192000004,640,238,388,0,0,0,0,0,0,0,0,0,0,0,0
410192100001,306,103,193,0,0,0,0,0,0,0,0,0,0,0,0
410192100002,461,171,278,0,0,0,0,0,0,0,0,0,0,0,0
410192100003,313,122,183,0,0,0,0,0,0,0,0,0,0,0,0
410192100004,716,257,438,0,0,0,0,0,0,0,0,0,0,0,0
410192100005,325,122,192,0,0,0,0,0,0,0,0,0,0,0,0
410199900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410219601001,468,176,279,0,0,0,0,0,0,0,0,0,0,0,0
410219601002,234,90,141,0,0,0,0,0,0,0,0,0,0,0,0
410219601003,402,164,228,0,0,0,0,0,0,0,0,0,0,0,0
410239601001,436,109,316,0,0,0,0,0,0,0,0,0,0,0,0
410239601002,254,68,179,0,0,0,0,0,0,0,0,0,0,0,0
410239601003,447,119,317,0,0,0,0,0,0,0,0,0,0,0,0
410239602001,415,105,302,0,0,0,0,0,0,0,0,0,0,0,0
410239602002,411,107,295,0,0,0,0,0,0,0,0,0,0,0,0
410239602003,833,217,599,0,0,0,0,0,0,0,0,0,0,0,0
410239602004,674,175,485,0,0,0,0,0,0,0,0,0,0,0,0
410239602005,407,106,292,0,0,0,0,0,0,0,0,0,0,0,0
410259601001,617,165,433,0,0,0,0,0,0,0,0,0,0,0,0
410259601002,346,94,241,0,0,0,0,0,0,0,0,0,0,0,0
410259601003,695,213,459,0,0,0,0,0,0,0,0,0,0,0,0
410259601004,537,174,344,0,0,0,0,0,0,0,0,0,0,0,0
410259601005,351,119,219,0,0,0,0,0,0,0,0,0,0,0,0
410259602001,604,101,489,0,0,0,0,0,0,0,0,0,0,0,0
410259602002,506,84,410,0,0,0,0,0,0,0,0,0,0,0,0
410279501001,493,280,197,0,0,0,0,0,0,0,0,0,0,0,0
410279501002,439,257,172,0,0,0,0,0,0,0,0,0,0,0,0
410279501003,378,218,152,0,0,0,0,0,0,0,0,0,0,0,0
410279501004,484,283,186,0,0,0,0,0,0,0,0,0,0,0,0
410279502001,833,544,270,0,0,0,0,0,0,0,0,0,0,0,0
410279502002,491,284,202,0,0,0,0,0,0,0,0,0,0,0,0
410279502003,661,413,235,0,0,0,0,0,0,0,0,0,0,0,0
410279502004,820,544,258,0,0,0,0,0,0,0,0,0,0,0,0
410279502005,795,496,283,0,0,0,0,0,0,0,0,0,0,0,0
410279503001,368,279,81,0,0,0,0,0,0,0,0,0,0,0,0
410279503002,501,358,132,0,0,0,0,0,0,0,0,0,0,0,0
410279503003,290,201,83,0,0,0,0,0,0,0,0,0,0,0,0
410279503004,382,279,96,0,0,0,0,0,0,0,0,0,0,0,0
410279503005,244,179,60,0,0,0,0,0,0,0,0,0,0,0,0
410279503006,673,488,172,0,0,0,0,0,0,0,0,0,0,0,0
410279504001,638,395,231,0,0,0,0,0,0,0,0,0,0,0,0
