GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
470371612,0,0,0,1009,536,454
470371616,0,0,0,735,484,246
470371618,0,0,0,720,497,209
470371620,0,0,0,3890,2053,1796
470371624,0,0,0,85,57,27
470371625,0,0,0,489,340,138
470371640,0,0,0,1771,850,895
470371644,0,0,0,1491,671,806
470371648,0,0,0,1477,574,875
470371656,0,0,0,2682,1148,1502
470371664,0,0,0,1804,714,1067
470371665,0,0,0,154,125,27
470371668,0,0,0,1680,691,958
470371669,0,0,0,927,470,437
470371672,0,0,0,185,96,86
470371676,0,0,0,295,167,118
470371680,0,0,0,2034,1223,775
470371684,0,0,0,191,95,93
470371688,0,0,0,1290,1054,216
470371692,0,0,0,1663,1318,337
470371695,0,0,0,1431,1252,156
470371696,0,0,0,536,441,82
470371697,0,0,0,794,777,12
470371698,0,0,0,2820,1404,1377
470371700,0,0,0,304,163,137
470371701,0,0,0,52,43,9
470371704,0,0,0,1435,997,432
470371706,0,0,0,2493,1770,687
470371710,0,0,0,59,39,20
470371714,0,0,0,421,337,77
470371716,0,0,0,1328,1311,11
470371720,0,0,0,1536,1186,318
470371724,0,0,0,898,768,122
470371725,0,0,0,573,233,332
470371728,0,0,0,132,103,26
470371740,0,0,0,896,661,221
470371741,0,0,0,3805,3715,70
470371742,0,0,0,416,300,113
470371744,0,0,0,316,118,192
470371752,0,0,0,1943,546,1365
470371760,0,0,0,521,180,329
470371768,0,0,0,890,863,19
470371772,0,0,0,662,647,8
470371780,0,0,0,327,322,4
470371784,0,0,0,1718,1567,129
470371788,0,0,0,3112,3078,23
470371794,0,0,0,883,873,7
470371800,0,0,0,932,584,327
470371802,0,0,0,124,98,24
470371804,0,0,0,2372,1323,998
470371808,0,0,0,1743,967,750
470371812,0,0,0,90,80,10
470371820,0,0,0,2672,1045,1582
470371822,0,0,0,1510,668,821
470371824,0,0,0,2990,1617,1344
470371826,0,0,0,3445,1937,1476
470371828,0,0,0,3096,1275,1782
470371836,0,0,0,2136,1391,711
470371840,0,0,0,1593,965,609
470371841,0,0,0,1470,739,722
470371844,0,0,0,2214,1326,850
470371847,0,0,0,833,599,224
470371852,0,0,0,1875,888,967
470371860,0,0,0,2736,1890,803
470371870,0,0,0,834,516,313
470371885,0,0,0,1066,674,380
470371888,0,0,0,2654,1343,1277
470371900,0,0,0,2255,1301,904
470371904,0,0,0,1779,1362,394
470371908,0,0,0,1786,1249,520
470371909,0,0,0,1011,696,309
470371910,0,0,0,10,8,2
470371920,0,0,0,1401,1036,348
470371922,0,0,0,1692,1103,561
470371928,0,0,0,2025,1328,673
470371932,0,0,0,1309,936,364
470371936,0,0,0,4674,3078,1558
470371937,0,0,0,773,578,186
470371938,0,0,0,2761,2217,519
470371940,0,0,0,3175,1984,1170
470371946,0,0,0,999,903,88
470371947,0,0,0,2493,2441,39
470371948,0,0,0,1772,1717,46
470371949,0,0,0,850,772,69
470371950,0,0,0,16,13,3
470371951,0,0,0,1421,1270,139
470371952,0,0,0,854,825,21
470371960,0,0,0,704,445,254
470371962,0,0,0,1912,1285,608
470371964,0,0,0,872,554,306
470371965,0,0,0,1286,718,542
470371968,0,0,0,1919,1218,680
470371976,0,0,0,1293,485,801
470371980,0,0,0,4699,2051,2586
470371984,0,0,0,3405,1303,2068
470371988,0,0,0,2044,1221,809
470371989,0,0,0,3191,2290,876
470371990,0,0,0,468,389,76
470371992,0,0,0,2204,1580,602
470371996,0,0,0,4701,2050,2603
