GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_ag,Dem_2016_ag,Rep_2016_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen
300399617003,506,202,276,0,0,0,0,0,0,0,0,0,0,0,0
300410401001,294,118,167,0,0,0,0,0,0,0,0,0,0,0,0
300410401002,454,185,249,0,0,0,0,0,0,0,0,0,0,0,0
300410402001,305,105,180,0,0,0,0,0,0,0,0,0,0,0,0
300410402002,480,197,261,0,0,0,0,0,0,0,0,0,0,0,0
300410403001,239,145,85,0,0,0,0,0,0,0,0,0,0,0,0
300410403002,265,143,110,0,0,0,0,0,0,0,0,0,0,0,0
300410403003,351,210,126,0,0,0,0,0,0,0,0,0,0,0,0
300410403004,165,85,71,0,0,0,0,0,0,0,0,0,0,0,0
300410403005,314,179,124,0,0,0,0,0,0,0,0,0,0,0,0
300410404001,661,328,310,0,0,0,0,0,0,0,0,0,0,0,0
300410404002,502,266,214,0,0,0,0,0,0,0,0,0,0,0,0
300410404003,472,250,203,0,0,0,0,0,0,0,0,0,0,0,0
300410404004,245,136,99,0,0,0,0,0,0,0,0,0,0,0,0
300410405001,282,156,117,0,0,0,0,0,0,0,0,0,0,0,0
300410405002,471,239,220,0,0,0,0,0,0,0,0,0,0,0,0
300410405003,464,234,217,0,0,0,0,0,0,0,0,0,0,0,0
300419403001,210,182,22,0,0,0,0,0,0,0,0,0,0,0,0
300419403002,221,215,6,0,0,0,0,0,0,0,0,0,0,0,0
300419403003,229,223,6,0,0,0,0,0,0,0,0,0,0,0,0
300439622011,1356,565,763,0,0,0,0,0,0,0,0,0,0,0,0
300439622012,1010,415,571,0,0,0,0,0,0,0,0,0,0,0,0
300439622021,405,190,203,0,0,0,0,0,0,0,0,0,0,0,0
300439622022,890,390,468,0,0,0,0,0,0,0,0,0,0,0,0
300439622023,393,190,193,0,0,0,0,0,0,0,0,0,0,0,0
300439622024,303,151,143,0,0,0,0,0,0,0,0,0,0,0,0
300439623001,463,145,296,0,0,0,0,0,0,0,0,0,0,0,0
300439623002,587,186,368,0,0,0,0,0,0,0,0,0,0,0,0
300439623003,622,231,360,0,0,0,0,0,0,0,0,0,0,0,0
300439623004,311,119,173,0,0,0,0,0,0,0,0,0,0,0,0
300450001001,570,179,375,0,0,0,0,0,0,0,0,0,0,0,0
300450001002,666,218,426,0,0,0,0,0,0,0,0,0,0,0,0
