GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres
440030220003,705,415,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030221001,1404,824,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030221002,533,316,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030221003,615,351,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030221004,582,345,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030222011,821,471,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030222012,994,526,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030222013,891,468,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030222014,547,284,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030222015,773,469,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030222021,421,252,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030222022,768,449,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030222023,712,402,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030223001,408,244,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030223002,443,272,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030223003,393,243,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030223004,537,347,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030224001,695,418,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030224002,670,385,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440039800001,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050401011,677,422,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050401012,894,494,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050401013,1117,675,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050401021,1023,525,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050401022,941,494,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050401023,1722,939,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050401031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050401032,1037,567,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050401033,121,70,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050401034,96,52,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050401035,955,518,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050401036,1297,708,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050402001,319,204,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050402002,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050403021,599,385,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050403022,622,399,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050403031,165,97,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050403032,1033,617,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050403041,731,431,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050403042,579,361,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050404001,1261,724,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050404002,1254,712,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050404003,1134,697,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050405001,261,203,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050405002,627,449,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050405003,383,279,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050406001,734,483,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050406002,306,209,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050406003,606,438,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050406004,456,352,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050407001,717,481,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050407002,614,413,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050407003,444,304,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050408001,504,335,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050408002,289,196,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050408003,320,212,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050409001,259,154,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050409002,1046,588,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050409003,484,293,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050409004,224,133,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050410001,253,171,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050410002,642,436,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050411001,394,278,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050411002,61,42,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050411003,327,225,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050412001,406,315,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050413001,758,466,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050413002,487,290,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050413003,627,377,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050413004,814,533,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050413005,999,650,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050414001,451,262,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050414002,1828,1065,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050416011,766,489,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050416012,560,360,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050416021,628,338,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050416022,1759,1073,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050417011,1632,979,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050417021,925,540,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050417022,1019,606,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050417023,649,367,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440059900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070001011,507,463,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070001012,179,163,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070001013,293,268,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070001014,267,244,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070001021,222,202,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070001022,488,444,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070001023,616,573,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070001024,560,463,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070002001,466,438,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070002002,301,280,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070002003,329,310,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070002004,400,378,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070002005,570,537,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070003001,167,156,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070003002,327,304,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070003003,257,233,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070003004,364,344,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070003005,370,354,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070003006,201,191,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070004001,313,299,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070004002,230,220,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070004003,214,207,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070004004,263,256,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070005001,310,300,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070005002,190,185,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070005003,308,299,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070006001,125,117,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070006002,325,315,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070007001,195,185,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070007002,356,333,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070007003,246,230,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070008001,276,209,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070008002,219,186,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070008003,413,347,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070009001,429,345,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070009002,264,216,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070010001,392,321,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070010002,370,304,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070011001,292,239,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070011002,192,154,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070011003,229,183,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070012001,375,353,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070012002,253,240,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070012003,176,169,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070013001,427,382,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070013002,312,279,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
