GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag
19155155031,219,90,128,0,0,0,0,0,0,0,0,0,0,0,0
19155155032,181,57,122,0,0,0,0,0,0,0,0,0,0,0,0
19155155033,305,97,205,0,0,0,0,0,0,0,0,0,0,0,0
19155155034,547,173,368,0,0,0,0,0,0,0,0,0,0,0,0
19155155035,1402,536,841,0,0,0,0,0,0,0,0,0,0,0,0
19155155036,1527,573,931,0,0,0,0,0,0,0,0,0,0,0,0
19155155037,2474,1372,1072,0,0,0,0,0,0,0,0,0,0,0,0
19155155038,1320,728,566,0,0,0,0,0,0,0,0,0,0,0,0
19155155039,1014,578,419,0,0,0,0,0,0,0,0,0,0,0,0
19155155040,995,603,371,0,0,0,0,0,0,0,0,0,0,0,0
19155155041,1147,656,466,0,0,0,0,0,0,0,0,0,0,0,0
19155155042,1601,824,757,0,0,0,0,0,0,0,0,0,0,0,0
19155155043,1376,748,613,0,0,0,0,0,0,0,0,0,0,0,0
19155155044,1743,800,918,0,0,0,0,0,0,0,0,0,0,0,0
19155155045,1355,673,671,0,0,0,0,0,0,0,0,0,0,0,0
19155155046,2839,1284,1508,0,0,0,0,0,0,0,0,0,0,0,0
19155155047,1174,634,520,0,0,0,0,0,0,0,0,0,0,0,0
19155155048,1518,706,789,0,0,0,0,0,0,0,0,0,0,0,0
19155155049,682,370,298,0,0,0,0,0,0,0,0,0,0,0,0
19155155050,795,480,294,0,0,0,0,0,0,0,0,0,0,0,0
19155155051,778,492,275,0,0,0,0,0,0,0,0,0,0,0,0
19155155052,1187,679,480,0,0,0,0,0,0,0,0,0,0,0,0
19155155053,1396,857,512,0,0,0,0,0,0,0,0,0,0,0,0
19155155054,1095,586,484,0,0,0,0,0,0,0,0,0,0,0,0
19155155055,1228,658,556,0,0,0,0,0,0,0,0,0,0,0,0
19155155056,1163,599,554,0,0,0,0,0,0,0,0,0,0,0,0
19157157001,155,66,86,0,0,0,0,0,0,0,0,0,0,0,0
19157157002,118,52,63,0,0,0,0,0,0,0,0,0,0,0,0
19157157003,330,154,168,0,0,0,0,0,0,0,0,0,0,0,0
19157157004,143,67,73,0,0,0,0,0,0,0,0,0,0,0,0
19157157005,153,71,78,0,0,0,0,0,0,0,0,0,0,0,0
19157157006,53,25,27,0,0,0,0,0,0,0,0,0,0,0,0
19157157007,838,392,427,0,0,0,0,0,0,0,0,0,0,0,0
19157157008,299,132,161,0,0,0,0,0,0,0,0,0,0,0,0
19157157009,5454,3586,1773,0,0,0,0,0,0,0,0,0,0,0,0
19157157010,233,99,130,0,0,0,0,0,0,0,0,0,0,0,0
19157157011,148,54,92,0,0,0,0,0,0,0,0,0,0,0,0
19157157012,128,47,80,0,0,0,0,0,0,0,0,0,0,0,0
19157157013,134,42,90,0,0,0,0,0,0,0,0,0,0,0,0
19157157014,227,71,153,0,0,0,0,0,0,0,0,0,0,0,0
19157157015,919,390,521,0,0,0,0,0,0,0,0,0,0,0,0
19157157016,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0
19157157017,451,166,280,0,0,0,0,0,0,0,0,0,0,0,0
19157157018,238,101,132,0,0,0,0,0,0,0,0,0,0,0,0
19159159001,65,28,36,0,0,0,0,0,0,0,0,0,0,0,0
19159159002,51,22,29,0,0,0,0,0,0,0,0,0,0,0,0
19159159003,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
19159159004,172,62,104,0,0,0,0,0,0,0,0,0,0,0,0
19159159006,174,80,91,0,0,0,0,0,0,0,0,0,0,0,0
19159159007,52,24,27,0,0,0,0,0,0,0,0,0,0,0,0
19159159008,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0
19159159009,73,36,37,0,0,0,0,0,0,0,0,0,0,0,0
19159159010,83,36,46,0,0,0,0,0,0,0,0,0,0,0,0
19159159011,168,73,93,0,0,0,0,0,0,0,0,0,0,0,0
19159159012,60,26,33,0,0,0,0,0,0,0,0,0,0,0,0
19159159013,48,25,22,0,0,0,0,0,0,0,0,0,0,0,0
19159159014,23,12,11,0,0,0,0,0,0,0,0,0,0,0,0
19159159015,23,12,10,0,0,0,0,0,0,0,0,0,0,0,0
19159159016,106,51,54,0,0,0,0,0,0,0,0,0,0,0,0
